OBJECTID	FORMULARIO	GRAVEDAD	CLASE_ACC
416919	A001182404	SOLO DANOS	CHOQUE
416920	A001182180	SOLO DANOS	CHOQUE
416921	A001177547	SOLO DANOS	CHOQUE
416923	A001177859	SOLO DANOS	CHOQUE
416925	A001181967	SOLO DANOS	CHOQUE
416926	A001181227	CON HERIDOS	CHOQUE
416927	A001232846	CON HERIDOS	CHOQUE
416928	A001232971	CON HERIDOS	CHOQUE
416929	A001232031	SOLO DANOS	CHOQUE
416930	A001232632	SOLO DANOS	CHOQUE
416931	A001184578	CON HERIDOS	CHOQUE
416932	A001232578	SOLO DANOS	CHOQUE
416933	A001231938	SOLO DANOS	CHOQUE
416934	A001232914	SOLO DANOS	CHOQUE
416935	A001233090	CON HERIDOS	CHOQUE
416936	A001232496	SOLO DANOS	CHOQUE
416937	A001184539	SOLO DANOS	CHOQUE
416938	A001232928	CON HERIDOS	CHOQUE
416939	A001232094	SOLO DANOS	CHOQUE
416940	A001231947	SOLO DANOS	CHOQUE
416941	A001233091	CON HERIDOS	CHOQUE
416942	A001232770	CON HERIDOS	CHOQUE
416943	A001232727	SOLO DANOS	CHOQUE
416944	A001233435	CON HERIDOS	VOLCAMIENTO
416945	A001232881	SOLO DANOS	CHOQUE
416946	A001232903	SOLO DANOS	CHOQUE
416947	A001232726	SOLO DANOS	CHOQUE
416948	A001232644	SOLO DANOS	CHOQUE
416949	A001182862	SOLO DANOS	CHOQUE
416950	A001232042	CON HERIDOS	CHOQUE
416951	A001232697	SOLO DANOS	CHOQUE
416952	A001232893	SOLO DANOS	CHOQUE
416953	A001232854	SOLO DANOS	CHOQUE
416954	A001232941	CON HERIDOS	CHOQUE
416955	A001233457	CON HERIDOS	VOLCAMIENTO
416956	A001232103	SOLO DANOS	CHOQUE
416957	A001185447	SOLO DANOS	CHOQUE
416958	A001232891	SOLO DANOS	CHOQUE
416959	A001233231	SOLO DANOS	CHOQUE
416960	A001232734	SOLO DANOS	CHOQUE
416961	A001233092	CON HERIDOS	CHOQUE
416962	A001184883	CON HERIDOS	CHOQUE
416963	A001232838	CON HERIDOS	CHOQUE
416964	A001232617	SOLO DANOS	CHOQUE
416965	A001232943	SOLO DANOS	CHOQUE
416966	A001232842	SOLO DANOS	CHOQUE
416967	A001233177	CON MUERTOS	CHOQUE
416968	A001232630	SOLO DANOS	CHOQUE
416969	A001232735	SOLO DANOS	CHOQUE
416970	A001232733	SOLO DANOS	CHOQUE
416971	A001183064	SOLO DANOS	CHOQUE
416972	A001180775	SOLO DANOS	CHOQUE
416973	A001180543	CON HERIDOS	VOLCAMIENTO
416974	A001181074	SOLO DANOS	CHOQUE
416975	A001180116	SOLO DANOS	CHOQUE
416976	A001180191	SOLO DANOS	CHOQUE
416977	A001184116	SOLO DANOS	CHOQUE
416978	A001181570	SOLO DANOS	CHOQUE
416979	A001183470	SOLO DANOS	CHOQUE
416980	A001183425	SOLO DANOS	CHOQUE
416981	A001178678	SOLO DANOS	CHOQUE
416982	A001178882	SOLO DANOS	CHOQUE
416983	A001179082	SOLO DANOS	CHOQUE
416984	A001179389	SOLO DANOS	CHOQUE
416985	A001179128	SOLO DANOS	CHOQUE
416986	A001179663	SOLO DANOS	CHOQUE
416987	A001176740	SOLO DANOS	CHOQUE
416988	A001179752	SOLO DANOS	CHOQUE
416989	A001183832	CON HERIDOS	CHOQUE
416990	A001183926	CON HERIDOS	CHOQUE
416991	A001182776	CON HERIDOS	CHOQUE
416992	A001178256	SOLO DANOS	CHOQUE
416993	A001178828	SOLO DANOS	CHOQUE
416994	A001179156	SOLO DANOS	CHOQUE
416995	A001178157	SOLO DANOS	CHOQUE
416996	A001179319	SOLO DANOS	CHOQUE
416997	A001178680	SOLO DANOS	CHOQUE
416998	A001178331	SOLO DANOS	CHOQUE
416999	A001178546	SOLO DANOS	CHOQUE
417000	A001183690	CON HERIDOS	CHOQUE
417001	A001183101	CON HERIDOS	CHOQUE
417002	A001183531	CON HERIDOS	CHOQUE
417003	A001182900	CON HERIDOS	CHOQUE
417004	A001183516	SOLO DANOS	CHOQUE
417005	A001183130	SOLO DANOS	CHOQUE
417006	A001183007	SOLO DANOS	CHOQUE
417007	A001179562	SOLO DANOS	CHOQUE
417008	A001179971	SOLO DANOS	CHOQUE
417009	A001178609	CON HERIDOS	VOLCAMIENTO
417010	A001182526	SOLO DANOS	CHOQUE
417011	A001183620	SOLO DANOS	CHOQUE
417012	A001176496	SOLO DANOS	CHOQUE
417013	A001178237	CON HERIDOS	CHOQUE
417014	A001180617	SOLO DANOS	CHOQUE
417015	A001181446	SOLO DANOS	CHOQUE
417016	A001183877	CON HERIDOS	CHOQUE
417017	A001180456	SOLO DANOS	CHOQUE
417018	A001181106	SOLO DANOS	CHOQUE
417019	A001180224	SOLO DANOS	CHOQUE
417020	A001181168	SOLO DANOS	CHOQUE
417021	A001180555	SOLO DANOS	CHOQUE
417022	A001184038	SOLO DANOS	CHOQUE
417023	A001180423	SOLO DANOS	CHOQUE
417024	A001182416	SOLO DANOS	CHOQUE
417025	A001179346	SOLO DANOS	CHOQUE
417026	A001183377	SOLO DANOS	CHOQUE
417027	A001179181	SOLO DANOS	CHOQUE
417028	A001183112	SOLO DANOS	CHOQUE
417029	A001178996	SOLO DANOS	CHOQUE
417030	A001183392	SOLO DANOS	CHOQUE
417031	A001183463	SOLO DANOS	CHOQUE
417032	A001179417	SOLO DANOS	CHOQUE
417033	A001183550	CON HERIDOS	ATROPELLO
417034	A001183784	CON HERIDOS	CHOQUE
417035	A001183676	CON HERIDOS	CHOQUE
417036	A001183904	CON HERIDOS	CHOQUE
417037	A001183927	CON HERIDOS	CHOQUE
417038	A001184089	CON HERIDOS	CHOQUE
417039	A001183728	SOLO DANOS	CHOQUE
417040	A001181981	SOLO DANOS	CHOQUE
417041	A001175859	SOLO DANOS	CHOQUE
417042	A001181181	SOLO DANOS	CHOQUE
417043	A001184426	CON HERIDOS	ATROPELLO
417044	A001183799	CON HERIDOS	ATROPELLO
417045	A001181557	SOLO DANOS	CHOQUE
417046	A001184258	CON HERIDOS	CHOQUE
417047	A001181097	SOLO DANOS	CHOQUE
417048	A001180727	CON HERIDOS	VOLCAMIENTO
417049	A001181362	SOLO DANOS	CHOQUE
417050	A001178113	SOLO DANOS	CHOQUE
417051	A001183129	SOLO DANOS	CHOQUE
417052	A001178342	SOLO DANOS	CHOQUE
417053	A001178698	SOLO DANOS	CHOQUE
417054	A001179396	SOLO DANOS	CHOQUE
417055	A001178416	SOLO DANOS	CHOQUE
417056	A001181731	CON HERIDOS	CHOQUE
417057	A001178304	SOLO DANOS	CHOQUE
417058	A001178424	SOLO DANOS	CHOQUE
417059	A001178152	SOLO DANOS	CHOQUE
417060	A001179486	SOLO DANOS	CHOQUE
417061	A001178438	SOLO DANOS	CHOQUE
417062	A001179337	SOLO DANOS	CHOQUE
417063	A001182741	SOLO DANOS	CHOQUE
417064	A001183534	SOLO DANOS	CHOQUE
417065	A001183602	SOLO DANOS	CHOQUE
417066	A001183215	SOLO DANOS	CHOQUE
417067	A001179235	SOLO DANOS	CHOQUE
417068	A001177931	SOLO DANOS	CHOQUE
417069	A001177289	SOLO DANOS	CHOQUE
417070	A001178112	SOLO DANOS	CHOQUE
417071	A001183957	CON HERIDOS	CHOQUE
417072	A001183536	CON HERIDOS	CHOQUE
417073	A001178808	SOLO DANOS	CHOQUE
417074	A001178720	SOLO DANOS	CHOQUE
417075	A001178317	SOLO DANOS	CHOQUE
417076	A001179484	SOLO DANOS	CHOQUE
417077	A001179207	SOLO DANOS	CHOQUE
417078	A001184014	CON HERIDOS	ATROPELLO
417079	A001183885	SOLO DANOS	CHOQUE
417080	A001179722	SOLO DANOS	CHOQUE
417081	A001183723	SOLO DANOS	CHOQUE
417082	A001183489	SOLO DANOS	CHOQUE
417083	A001184322	CON HERIDOS	CHOQUE
417084	A001180013	SOLO DANOS	CHOQUE
417085	A001181118	SOLO DANOS	CHOQUE
417086	A001180408	SOLO DANOS	CHOQUE
417087	A001179978	SOLO DANOS	CHOQUE
417088	A001183810	SOLO DANOS	CHOQUE
417089	A001178500	SOLO DANOS	CHOQUE
417090	A001183113	SOLO DANOS	CHOQUE
417091	A001183687	CON HERIDOS	ATROPELLO
417092	A001184080	CON HERIDOS	CHOQUE
417093	A001184345	CON HERIDOS	CHOQUE
417094	A001180511	SOLO DANOS	CHOQUE
417095	A001183443	SOLO DANOS	CHOQUE
417096	A001180704	SOLO DANOS	CHOQUE
417097	A001180642	SOLO DANOS	CHOQUE
417098	A001179614	SOLO DANOS	CHOQUE
417099	A001179478	SOLO DANOS	CHOQUE
417100	A001183997	CON HERIDOS	CHOQUE
417101	A001180186	SOLO DANOS	CHOQUE
