"OBJECTID";"FECHA_OCURRENCIA_ACC";"ANO_OCURRENCIA_ACC";"FORMULARIO";"CLASE_ACC"
399546;"2020/01/21 00:00:00+00";2020;"A001062399";"CHOQUE"
399547;"2020/01/17 00:00:00+00";2020;"A001131133";"CHOQUE"
399548;"2020/01/21 00:00:00+00";2020;"A001131074";"CHOQUE"
399549;"2020/01/17 00:00:00+00";2020;"A001129354";"CHOQUE"
399550;"2020/01/20 00:00:00+00";2020;"A001131048";"CHOQUE"
399551;"2020/01/20 00:00:00+00";2020;"A001128800";"CHOQUE"
399552;"2020/01/17 00:00:00+00";2020;"A001130843";"CHOQUE"
399553;"2020/01/18 00:00:00+00";2020;"A001130882";"CHOQUE"
399554;"2020/01/17 00:00:00+00";2020;"A001131291";"CHOQUE"
399555;"2020/01/18 00:00:00+00";2020;"A001062292";"CHOQUE"
399556;"2020/01/18 00:00:00+00";2020;"A001130730";"CHOQUE"
399557;"2020/01/21 00:00:00+00";2020;"A001131394";"CHOQUE"
399558;"2020/01/13 00:00:00+00";2020;"A001130863";"CHOQUE"
399559;"2020/01/21 00:00:00+00";2020;"A001131470";"CHOQUE"
399560;"2020/01/20 00:00:00+00";2020;"A001131226";"ATROPELLO"
399561;"2020/01/21 00:00:00+00";2020;"A001131491";"ATROPELLO"
399562;"2020/01/19 00:00:00+00";2020;"A001127525";"ATROPELLO"
399563;"2020/01/21 00:00:00+00";2020;"A001129948";"ATROPELLO"
399564;"2020/01/18 00:00:00+00";2020;"A001131095";"CHOQUE"
399565;"2020/01/18 00:00:00+00";2020;"A001127481";"CHOQUE"
399566;"2020/01/19 00:00:00+00";2020;"A001130460";"CHOQUE"
399567;"2020/01/20 00:00:00+00";2020;"A001131008";"CHOQUE"
399568;"2020/01/17 00:00:00+00";2020;"A001131007";"CHOQUE"
399569;"2020/01/17 00:00:00+00";2020;"A001130042";"VOLCAMIENTO"
399570;"2020/01/19 00:00:00+00";2020;"A001130754";"CHOQUE"
399571;"2020/01/21 00:00:00+00";2020;"A001131209";"CHOQUE"
399572;"2020/01/17 00:00:00+00";2020;"A001130939";"CHOQUE"
399573;"2020/01/21 00:00:00+00";2020;"A001131228";"CHOQUE"
399582;"2020/03/07 00:00:00+00";2020;"A001135988";"CHOQUE"
399583;"2020/02/08 00:00:00+00";2020;"A001131690";"ATROPELLO"
399589;"2020/01/10 00:00:00+00";2020;"A001130469";"CHOQUE"
399608;"2020/03/07 00:00:00+00";2020;"A001135125";"CHOQUE"
399827;"2020/01/07 00:00:00+00";2020;"A001128798";"ATROPELLO"
399837;"2020/01/03 00:00:00+00";2020;"A001129334";"CHOQUE"
399841;"2020/01/12 00:00:00+00";2020;"A001130361";"ATROPELLO"
399851;"2020/01/08 00:00:00+00";2020;"A001127485";"CHOQUE"
399979;"2020/02/04 00:00:00+00";2020;"A001132853";"CHOQUE"
399980;"2020/02/04 00:00:00+00";2020;"A001132611";"CHOQUE"
399981;"2020/02/05 00:00:00+00";2020;"A001132594";"CHOQUE"
399983;"2020/02/03 00:00:00+00";2020;"A001131691";"CHOQUE"
399984;"2020/02/03 00:00:00+00";2020;"A001132479";"CHOQUE"
