id;name;duration_ms
4cluDES4hQEUhmXj6TXkSo;What Makes You Beautiful;199987
3DmW6y7wTEYHJZlLo1r6XJ;Shower;206167
3HVWdVOQ0ZA45FuZGSfvns;I Don't Care (with Justin Bieber);219947
0RLLvYBopDwooCyvnTwgYu;F.N;224000
66W1rVTnEv86dIkFhoiElg;Secrets;176767
1EzrEOXmMH3G43AXT1y7pA;I'm Yours;242187
7C1trmcQQ5n5RNy4l6ziCv;Some Say - Felix Jaehn Remix;186878
4RvWPyQ5RL0ao9LPZeSouE;Everybody Wants To Rule The World;251489
7Bar1kLTmsRmH6FCKKMEyU;Hit Different;202008
4wNIkl5XGiAACjFBlDWuSd;What A Man Gotta Do;180645
06s3QtMJVXw1AJX3UfvZG1;Hasta Que Dios Diga;246000
7lQ8MOhq6IN2w8EYcFNSUk;Without Me;290320
5f1joOtoMeyppIcJGZQvqJ;Be Like That - feat. Swae Lee & Khalid;191406
5BK0uqwY9DNfZ630STAEaq;gold rush;185320
57bgtoPSgt236HzfBOd8kj;Thunderstruck;292880
3JKgcAa7r07ocVWcV8bS0H;21;163798
6IBcOGPsniK3Pso1wHIhew;Forever After All;232533
4Iedi94TIaB2GGb1nMB68v;On Me;135960
2rPHUAeUPbNgTmK18FPTiZ;GO (feat. Juice WRLD);181688
4Q34FP1AT7GEl9oLgNtiWj;Mr. Right Now (feat. Drake);193839
2tUBqZG2AbRi7Q0BIrVrEj;I Wanna Dance with Somebody (Who Loves Me);291293
4umIPjkehX1r7uhmGvXiSV;Intentions (feat. Quavo);212867
3RaT22zZsxVYxxKR7TAaYF;no body, no crime (feat. HAIM);215627
41wtwzCZkXwpnakmwJ239F;Si Veo a Tu Mamá;170972
49FYlytm3dAAraYgpoJZux;Umbrella;275987
33gwZOGJWEZ7dRWPqPxBEZ;Wolves (feat. Post Malone);199758
69vlMrzHwATKzupwNcUPyK;La Santa;206420
2FRnf9qhLbvw8fu4IBXx78;Last Christmas;262960
0RiRZpuVRbi7oqRdSMwhQY;Sunflower - Spider-Man: Into the Spider-Verse;157560
4R2kfaDFhslZEMJqAFNpdd;cardigan;239560
5p7ujcrUXASCNwRaWNHR1C;Without Me;201661
3cBsEDNhFI9E82vPj3kvi3;Wasted On You;178520
5kcvBnt6DPX3AMEsCx1qDh;Happiest Year;228443
3QGsuHI8jO1Rx4JWLUh9jd;Treat You Better;187973
37ZJ0p5Jm13JPevGcx4SkF;Livin' On A Prayer;249293
4nVBt6MZDDP6tRVdQTgxJg;Story of My Life;245493
4rHZZAmHpZrA3iH5zx8frV;Mirrors;484147
4vLBnQtece15fFhqWxZvJP;Your New Boyfriend;239667
4HlFJV71xXKIGcU3kRyttv;Hey, Soul Sister;216773
0NlGoUyOJSuSHmngoibVAs;All I Want;305747
2zYzyRzz6pRmhPzyfMEC8s;Highway to Hell;208400
1daDRI9ahBonbWD8YcxOIB;Angels Like You;196453
5ri4zqtWhG07hIuNNDWP76;Fly Away;178157
09IStsImFySgyp0pIQdqAc;The Middle;184732
6RUKPb4LETWmmr3iAEQktW;Something Just Like This;247160
7KXjTSCq5nL1LoYtL7XAwS;HUMBLE.;177000
7floNISpH8VF4z4459Qo18;Look At Me!;126346
47EWMOElkkbMp5m9SBkx7d;IDK You Yet;184638
52okn5MNA47tk87PeZJLEL;Let You Down;212120
5vjLSffimiIP26QG5WcN2K;Hold On;198853
7vGuf3Y35N4wmASOKLUVVU;Silence;180823
5Ohxk2dO5COHF1krpoPigN;Sign of the Times;340707
0wXuerDYiBnERgIpbb3JBR;Redbone;326933
75ZvA4QfFiZvzhj2xkaWAh;I Fall Apart;223347
0y60itmpH0aPKsFiGxmtnh;Wait a Minute!;196520
2RttW7RAu5nOAfq6YFvApB;Happier;207520
7AzlLxHn24DxjgQX73F9fU;No Idea;154424
0uxSUdBrJy9Un0EYoBowng;20 Min;220587
1HbA4N1MiOsPthALesGFR1;Monster (Shawn Mendes & Justin Bieber);178994
78QR3Wp35dqAhFEc2qAGjE;Drip Too Hard (Lil Baby & Gunna);145543
57BGVV6wcyhbn3hsjlqEZB;Element;135747
5DoLhdU27owX1NMrKLUbUl;Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto);260545
69vToJ9BMbbLlFZo7k7A7B;You Are The Reason;204326
5RqR4ZCCKJDcBLIn4sih9l;Party Girl;147800
7sO5G9EABYOXQKNPNiE9NR;Ric Flair Drip (& Metro Boomin);172800
2nLtzopw4rPReszdYBJU6h;Numb;185587
7dW84mWkdWE5a6lFWxJCBG;‘tis the damn season;229840
0PurA4JVJ8YQgSVopY8fn6;tolerate it;245440
6rLi6PyWXu1rPlShuIZpj6;Way Out (feat. Big Sean);168906
4pvb0WLRcMtbPGmtejJJ6y;exile (feat. Bon Iver);285634
15JINEqzVMv3SvJTAXAKED;Love The Way You Lie;263373
0lYBSQXN6rCTvUZvg9S0lU;Let Me Love You;205947
3nS9a01VvXHQriLqJYwRqG;DOLLAZ ON MY HEAD (feat. Young Thug);197760
0tjZv2hChdHZCW1zFXpy1J;HOY COBRÉ;162151
0HPD5WQqrq7wPWR7P7Dw1i;TiK ToK;199693
6Nle9hKrkL1wQpwNfEkxjh;Chanel;210285
6gxKUmycQX7uyMwJcweFjp;We Paid (feat. 42 Dugg);181929
3kml9ZdpT7UYk1ugkjqOzt;Don Don;275893
3aAmQOxRPeKDL0HMWFA5qn;Adderall (Corvette Corvette);136224
6v3KW9xbzN5yKLt9YKDYA2;Señorita;190800
5XeFesFbtLpXzIVDNQP22n;I Wanna Be Yours;183956
6cy3ki60hLwimwIje7tALf;RITMO (Bad Boys For Life);221714
6CDzDgIUqeDY5g8ujExx2f;Heat Waves;238805
2V6pjeOCuPBVlatcWTXUtP;Coco (feat. DaBaby);142000
0SErdEdRcVX1uJCf1eTGYH;Somebody’s Problem;161773
5GkQIP5mWPi4KZLLXeuFTT;motive (with Doja Cat);167990
7hDVYcQq6MxkdJGweuCtl9;ocean eyes;200379
4w47S36wQGBhGg073q3nt7;TKN (feat. Travis Scott);129371
0S0vWvyZ6Rc79TXkWxT9QA;Save That Shit;231547
3Uo7WG0vmLQ07WB4BDwy7D;willow;214707
25zlnOAzbVoOzIeXSvQFf1;Got It On Me;164580
14ngWWxvUSnIMXgF6rzSk1;Head Shoulders Knees & Toes (feat. Norma Jean Martine);156960
7JJmb5XwzOO8jgpou264Ml;There's Nothing Holdin' Me Back;199440
4BP3uh0hFLFRb5cjsgLqDh;Fortunate Son;140773
7MiZjKawmXTsTNePyTfPyL;Devil Eyes;131272
